GEO_ID,NAME,Black population
1,Adair ,529
3,Allen ,204
5,Anderson ,492
7,Ballard ,208
9,Barren ,1724
11,Bath ,128
13,Bell ,558
15,Boone ,5728
17,Bourbon ,1035
19,Boyd ,1310
21,Boyle ,94
23,Bracken ,51
25,Breathitt ,57
27,Breckinridge ,426
29,Bullitt ,1045
31,Butler ,15
33,Caldwell ,674
35,Calloway ,1313
37,Campbell ,2832
39,Carlisle ,63
41,Carroll ,184
43,Carter ,2
45,Casey ,83
47,Christian ,15527
49,Clark ,1648
51,Clay ,839
53,Clinton ,40
55,Crittenden ,82
57,Cumberland ,150
59,Daviess ,4872
61,Edmonson ,98
63,Elliott ,246
65,Estill ,30
67,Fayette ,48076
69,Fleming ,148
71,Floyd ,122
73,Franklin ,4481
75,Fulton ,1444
77,Gallatin ,74
79,Garrard ,302
81,Grant ,195
83,Graves ,1564
85,Grayson ,310
87,Green ,160
89,Greenup ,220
91,Hancock ,79
93,Hardin ,12825
95,Harlan ,541
97,Harrison ,307
99,Hart ,705
101,Henderson ,3652
103,Henry ,372
105,Hickman ,386
107,Hopkins ,2947
109,Jackson ,12
111,Jefferson ,168910
113,Jessamine ,2290
115,Johnson ,45
117,Kenton ,8195
119,Knott ,67
121,Knox ,296
123,Larue ,377
125,Laurel ,447
127,Lawrence ,36
129,Lee ,280
131,Leslie ,45
133,Letcher ,92
135,Lewis ,36
137,Lincoln ,470
139,Livingston ,25
141,Logan ,1682
143,Lyon ,510
145,McCracken ,7598
147,McCreary ,916
149,McLean ,49
151,Madison ,3963
153,Magoffin ,14
155,Marion ,14
157,Marshall ,101
159,Martin ,796
161,Mason ,1024
163,Meade ,987
165,Menifee ,30
167,Mercer ,768
169,Metcalfe ,117
171,Monroe ,8
173,Montgomery ,6
175,Morgan ,496
177,Muhlenberg ,15
179,Nelson ,2200
181,Nicholas ,41
183,Ohio ,166
185,Oldham ,2244
187,Owen ,83
189,Owsley ,14
191,Pendleton ,56
193,Perry ,375
195,Pike ,496
197,Powell ,66
199,Pulaski ,695
201,Robertson ,6
203,Rockcastle ,60
205,Rowan ,383
207,Russell ,113
209,Scott ,2951
211,Shelby ,2755
213,Simpson ,1640
215,Spencer ,299
217,Taylor ,1255
219,Todd ,887
221,Trigg ,952
223,Trimble ,30
225,Union ,1041
227,Warren ,12933
229,Washington ,659
231,Wayne ,240
233,Webster ,485
235,Whitley ,568
237,Wolfe ,27
239,Woodford ,1248
